,LandAverageTemperatureUncertainty,UpperBounds,LowerBounds,month,year,Average_Temperature,Datetime
185,1.453,12.285999999999998,9.379999999999999,6,1765,10.832999999999998,1765-06-01
186,2.375,16.328,11.578,7,1765,13.953,1765-07-01
187,1.8719999999999999,14.991999999999999,11.248,8,1765,13.12,1765-08-01
188,1.705,12.698,9.288,9,1765,10.993,1765-09-01
189,1.5330000000000001,9.437,6.3709999999999996,10,1765,7.904,1765-10-01
190,3.737,9.34,1.8659999999999997,11,1765,5.603,1765-11-01
191,2.556,4.955,-0.15700000000000003,12,1765,2.399,1765-12-01
192,4.766,3.973,-5.559,1,1766,-0.7930000000000001,1766-01-01
193,3.741,8.637,1.1549999999999998,2,1766,4.896,1766-02-01
194,2.802,8.864,3.2600000000000002,3,1766,6.062,1766-03-01
195,2.084,10.091,5.923,4,1766,8.007,1766-04-01
196,1.555,12.783,9.673,5,1766,11.228,1766-05-01
197,3.745,17.398,9.907999999999998,6,1766,13.652999999999999,1766-06-01
198,2.3409999999999997,15.895999999999999,11.214,7,1766,13.555,1766-07-01
199,2.5980000000000003,16.355999999999998,11.159999999999998,8,1766,13.758,1766-08-01
200,2.855,15.105,9.395,9,1766,12.25,1766-09-01
201,1.4909999999999999,9.956,6.974,10,1766,8.465,1766-10-01
202,3.7739999999999996,11.228000000000002,3.680000000000002,11,1766,7.4540000000000015,1766-11-01
203,2.278,4.611000000000001,0.05500000000000016,12,1766,2.333,1766-12-01
204,5.6560000000000015,5.013000000000002,-6.299000000000001,1,1767,-0.6430000000000002,1767-01-01
205,4.973,8.905,-1.041,2,1767,3.932,1767-02-01
206,4.418,11.440000000000001,2.604,3,1767,7.022,1767-03-01
207,3.557,9.834999999999999,2.7209999999999996,4,1767,6.278,1767-04-01
208,1.501,11.693999999999999,8.692,5,1767,10.193,1767-05-01
209,1.426,15.538,12.686,6,1767,14.112,1767-06-01
210,2.559,15.920000000000002,10.802,7,1767,13.361,1767-07-01
211,1.466,16.063,13.131,8,1767,14.597,1767-08-01
212,2.313,13.988000000000001,9.362,9,1767,11.675,1767-09-01
213,1.611,10.638,7.4159999999999995,10,1767,9.027,1767-10-01
214,3.775,11.69,4.140000000000001,11,1767,7.915,1767-11-01
215,2.2969999999999997,3.4859999999999998,-1.1079999999999997,12,1767,1.189,1767-12-01
216,3.0269999999999997,0.9469999999999996,-5.106999999999999,1,1768,-2.08,1768-01-01
217,3.04,3.5460000000000003,-2.534,2,1768,0.5060000000000002,1768-02-01
218,2.157,4.603,0.28900000000000015,3,1768,2.446,1768-03-01
219,1.84,8.76,5.08,4,1768,6.92,1768-04-01
220,2.4330000000000003,11.499,6.633000000000001,5,1768,9.066,1768-05-01
221,1.729,14.218999999999998,10.761,6,1768,12.489999999999998,1768-06-01
222,2.552,16.427,11.323,7,1768,13.875,1768-07-01
223,2.046,14.398,10.306000000000001,8,1768,12.352,1768-08-01
224,1.504,12.328000000000001,9.320000000000002,9,1768,10.824000000000002,1768-09-01
225,2.5580000000000003,10.286999999999999,5.170999999999999,10,1768,7.728999999999999,1768-10-01
226,2.02,6.601000000000001,2.5610000000000004,11,1768,4.581,1768-11-01
227,2.286,4.952999999999999,0.3809999999999998,12,1768,2.667,1768-12-01
228,3.76,6.0649999999999995,-1.4549999999999996,1,1769,2.305,1769-01-01
229,2.5269999999999997,4.691,-0.36299999999999955,2,1769,2.164,1769-02-01
230,2.225,6.795,2.345,3,1769,4.57,1769-03-01
231,3.105,12.071999999999997,5.8619999999999965,4,1769,8.966999999999997,1769-04-01
232,1.7530000000000001,14.626,11.12,5,1769,12.873,1769-05-01
233,1.7269999999999999,16.869,13.415,6,1769,15.142,1769-06-01
234,3.6689999999999996,18.13,10.792000000000002,7,1769,14.461,1769-07-01
235,1.604,15.098000000000003,11.89,8,1769,13.494000000000002,1769-08-01
236,1.598,12.848,9.652,9,1769,11.25,1769-09-01
237,2.395,7.691999999999998,2.901999999999999,10,1769,5.296999999999999,1769-10-01
238,2.267,5.057,0.5230000000000001,11,1769,2.79,1769-11-01
239,2.291,1.3129999999999997,-3.269,12,1769,-0.9780000000000002,1769-12-01
240,4.275,6.2490000000000006,-2.301,1,1770,1.974,1770-01-01
241,4.129,8.234,-0.023999999999999133,2,1770,4.105,1770-02-01
