BOROUGH,NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,TAX_CLASS_AT_PRESENT,BLOCK,LOT,EASE-MENT,BUILDING_CLASS_AT_PRESENT,ADDRESS,APARTMENT_NUMBER,ZIP_CODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,BUILDING_CLASS_AT_TIME_OF_SALE,SALE_PRICE,SALE_DATE
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,5543,,R4,"200 RECTOR PLACE, 4Y",4Y,10280.0,1.0,0.0,1.0,0,1054.0,1987.0,2,R4,1175000,2019-02-08
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,1523,,R4,"30 LITTLE WEST STREET, 20E",20E,10004.0,1.0,0.0,1.0,0,1526.0,2005.0,2,R4,2250000,2019-02-11
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,1611,,R4,"30 LITTLE WEST STREET, 33D",33D,10004.0,1.0,0.0,1.0,0,875.0,2005.0,2,R4,1350000,2019-02-11
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,215,1135,,R4,"415 GREENWICH ST, 5D",5D,10013.0,1.0,0.0,1.0,0,1850.0,1913.0,2,R4,3145000,2019-02-12
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,180,1107,,R4,"67 HUDSON STREET, 2B",2B,10013.0,1.0,0.0,1.0,0,1144.0,1915.0,2,R4,1658000,2019-02-15
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,188,1505,,R4,"48 BEACH STREET, 2A",2A,10013.0,1.0,0.0,1.0,0,2292.0,1930.0,2,R4,3836438,2019-02-21
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,142,1891,,R4,"111 MURRAY STREET, 33W",33W,10007.0,1.0,0.0,1.0,0,2279.0,2016.0,2,R4,6720000,2019-02-26
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,222,1251,,R4,"443 GREENWICH ST, PHF",PHF,10013.0,1.0,0.0,1.0,"35,127",2964.0,1905.0,2,R4,15000000,2019-02-26
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,1210,,R4,"377 RECTOR PLACE, 6KL",6K,10280.0,1.0,0.0,1.0,0,688.0,0.0,2,R4,1651544,2019-02-27
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,16,4334,,R4,"212 WARREN STREET, 4C",4C,10282.0,1.0,0.0,1.0,0,1661.0,2000.0,2,R4,3300000,2019-02-28
